buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
stereobm.MUT114.cpp,1,153,0,0,4,158,423,10580,450,11046,12298,0.8981948284273865,0.8946983249308831,0,0,18,18,423,0,0,590,26
circlesgrid.MUT191.cpp,1,156,0,0,1,158,334,10904,334,10955,12298,0.8907952512603675,0.8907952512603675,0,0,32,32,334,0,0,590,26
calibration.MUT437.cpp,1,155,0,0,2,158,358,10302,2705,11046,12298,0.8981948284273865,0.8404618637176777,0,0,5,5,358,0,0,590,26
triangulate.MUT164.cpp,1,156,0,0,1,158,2691,10752,143,11057,12297,0.8991623973326828,0.8991623973326828,0,0,77,77,2691,0,0,590,26
fisheye.MUT35.cpp,9,148,0,0,1,158,885,10427,653,10991,12298,0.8937225565132542,0.8760774109611319,0,0,25,25,885,0,0,590,26
rho.MUT181.cpp,2,156,0,0,0,158,805,10356,0,10839,12298,0.8813628232232883,0.8813628232232883,0,0,66,66,805,0,0,590,26
calibration.MUT875.cpp,2,155,0,0,1,158,2062,10576,1729,11032,12298,0.8970564319401528,0.896080663522524,0,0,52,52,2062,0,0,590,26
circlesgrid.MUT671.cpp,1,156,0,0,1,158,421,10916,726,11058,12298,0.8991705968450154,0.8981135143925841,0,0,38,38,421,0,0,590,26
stereobm.MUT481.cpp,1,155,0,0,2,158,423,10915,326,11046,12298,0.8981948284273865,0.8981948284273865,0,0,18,18,423,0,0,590,26
calibration.MUT1497.cpp,1,154,0,0,3,158,2693,10716,329,11047,12299,0.8982031059435727,0.8980404910968371,0,0,77,77,2693,0,0,590,26
fundam.MUT429.cpp,1,157,0,0,0,158,54,11039,0,11055,12298,0.8989266547406082,0.8989266547406082,0,0,3,3,54,0,0,590,26
circlesgrid.MUT543.cpp,3,153,0,0,1,157,680,10588,333,10948,12298,0.8902260530167507,0.8897381688079362,0,0,54,54,680,0,0,590,26
circlesgrid.MUT173.cpp,2,156,0,0,0,158,363,10890,0,11032,12298,0.8970564319401528,0.8970564319401528,0,0,22,22,363,0,0,590,26
triangulate.MUT75.cpp,2,156,0,0,0,158,2168,10752,0,10863,12298,0.8833143600585461,0.8833143600585461,0,0,59,59,2168,0,0,590,26
calibration.MUT471.cpp,3,136,0,0,18,157,1034,8924,4889,11130,12298,0.9050252073507887,0.7699625955439909,0,0,23,23,1034,0,0,590,26
fundam.MUT71.cpp,4,152,0,0,2,158,1061,10307,675,11036,12298,0.8973816880793625,0.8973816880793625,0,0,73,73,1061,0,0,590,26
calibration.MUT1222.cpp,1,157,0,0,0,158,1875,10896,0,10946,12298,0.8900634249471459,0.8900634249471459,0,0,49,49,1875,0,0,590,26
