TC_id,test_funcname,filename,result,error,options
TC239,memParseTest,./test/text-4-byte-UTF-16-BE.xml,result/text-4-byte-UTF-16-BE.xml,NULL,65536
TC240,memParseTest,./test/text-4-byte-UTF-16-LE-offset.xml,result/text-4-byte-UTF-16-LE-offset.xml,NULL,65536
TC241,memParseTest,./test/text-4-byte-UTF-16-LE.xml,result/text-4-byte-UTF-16-LE.xml,NULL,65536
TC242,memParseTest,./test/title.xml,result/title.xml,NULL,65536
TC243,memParseTest,./test/tstblanks.xml,result/tstblanks.xml,NULL,65536
TC244,memParseTest,./test/utf16bebom.xml,result/utf16bebom.xml,NULL,65536
TC245,memParseTest,./test/utf16bom.xml,result/utf16bom.xml,NULL,65536
TC246,memParseTest,./test/utf16lebom.xml,result/utf16lebom.xml,NULL,65536
TC247,memParseTest,./test/utf8bom.xml,result/utf8bom.xml,NULL,65536
TC248,memParseTest,./test/wap.xml,result/wap.xml,NULL,65536
TC249,memParseTest,./test/winblanks.xml,result/winblanks.xml,NULL,65536
TC250,memParseTest,./test/wml.xml,result/wml.xml,NULL,65536
TC251,memParseTest,./test/xhtml1,result/xhtml1,NULL,65536
TC252,memParseTest,./test/xhtmlcomp,result/xhtmlcomp,NULL,65536
TC253,memParseTest,./test/xml1,result/xml1,NULL,65536
TC254,memParseTest,./test/xml2,result/xml2,NULL,65536
TC255,noentParseTest,./test/att1,result/noent/att1,NULL,65538
TC256,noentParseTest,./test/att10,result/noent/att10,NULL,65538
TC257,noentParseTest,./test/att11,result/noent/att11,NULL,65538
TC258,noentParseTest,./test/att2,result/noent/att2,NULL,65538
TC259,noentParseTest,./test/att3,result/noent/att3,NULL,65538
TC260,noentParseTest,./test/att4,result/noent/att4,NULL,65538
TC261,noentParseTest,./test/att5,result/noent/att5,NULL,65538
TC262,noentParseTest,./test/att6,result/noent/att6,NULL,65538
TC263,noentParseTest,./test/att7,result/noent/att7,NULL,65538
TC264,noentParseTest,./test/att8,result/noent/att8,NULL,65538
TC265,noentParseTest,./test/att9,result/noent/att9,NULL,65538
TC266,noentParseTest,./test/attrib.xml,result/noent/attrib.xml,NULL,65538
TC267,noentParseTest,./test/badcomment.xml,result/noent/badcomment.xml,NULL,65538
TC268,noentParseTest,./test/bigentname.xml,result/noent/bigentname.xml,NULL,65538
TC269,noentParseTest,./test/bigname.xml,result/noent/bigname.xml,NULL,65538
TC270,noentParseTest,./test/bigname2.xml,result/noent/bigname2.xml,NULL,65538
TC271,noentParseTest,./test/boundaries1.xml,result/noent/boundaries1.xml,NULL,65538
TC272,noentParseTest,./test/cdata,result/noent/cdata,NULL,65538
TC273,noentParseTest,./test/cdata-2-byte-UTF-8.xml,result/noent/cdata-2-byte-UTF-8.xml,NULL,65538
TC274,noentParseTest,./test/cdata-3-byte-UTF-8.xml,result/noent/cdata-3-byte-UTF-8.xml,NULL,65538
TC275,noentParseTest,./test/cdata-4-byte-UTF-8.xml,result/noent/cdata-4-byte-UTF-8.xml,NULL,65538
TC276,noentParseTest,./test/cdata2,result/noent/cdata2,NULL,65538
TC277,noentParseTest,./test/comment.xml,result/noent/comment.xml,NULL,65538
TC278,noentParseTest,./test/comment2.xml,result/noent/comment2.xml,NULL,65538
TC279,noentParseTest,./test/comment3.xml,result/noent/comment3.xml,NULL,65538
TC280,noentParseTest,./test/comment4.xml,result/noent/comment4.xml,NULL,65538
TC281,noentParseTest,./test/comment5.xml,result/noent/comment5.xml,NULL,65538
TC282,noentParseTest,./test/comment6.xml,result/noent/comment6.xml,NULL,65538
TC283,noentParseTest,./test/dav1,result/noent/dav1,NULL,65538
TC284,noentParseTest,./test/dav10,result/noent/dav10,NULL,65538
TC285,noentParseTest,./test/dav11,result/noent/dav11,NULL,65538
TC286,noentParseTest,./test/dav12,result/noent/dav12,NULL,65538
TC287,noentParseTest,./test/dav13,result/noent/dav13,NULL,65538
TC288,noentParseTest,./test/dav15,result/noent/dav15,NULL,65538
TC289,noentParseTest,./test/dav16,result/noent/dav16,NULL,65538
TC290,noentParseTest,./test/dav17,result/noent/dav17,NULL,65538
TC291,noentParseTest,./test/dav18,result/noent/dav18,NULL,65538
TC292,noentParseTest,./test/dav19,result/noent/dav19,NULL,65538
