buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
torch_importer.MUT107.cpp,26,2847,0,0,0,2873,361,12049,0,12195,14008,0.8705739577384352,0.8705739577384352,0,0,37,37,361,0,0,1050,63
tf_graph_simplifier.MUT446.cpp,148,2725,0,0,0,2873,2917,10845,0,11059,14008,0.7894774414620217,0.7894774414620217,0,0,256,256,2917,0,0,1050,63
tf_importer.MUT56.cpp,31,2796,0,0,46,2873,3935,12008,5160,12477,14007,0.8907689012636539,0.8746341115156707,0,0,338,338,3935,0,0,1050,63
pooling_layer.MUT216.cpp,1,2870,0,0,2,2873,649,12521,2594,12542,14008,0.8953455168475157,0.8949171901770417,0,0,57,57,649,0,0,1050,63
nary_eltwise_layers.MUT149.cpp,3,2818,0,0,43,2864,1802,12313,4990,12539,14008,0.8951313535122787,0.8821387778412336,0,0,178,178,1802,0,0,1050,63
pooling_layer.MUT304.cpp,43,2829,0,0,1,2873,5485,12421,1217,12542,14008,0.8953455168475157,0.8953455168475157,0,0,464,464,5485,0,0,1050,63
correlation_layer.MUT94.cpp,1,2872,0,0,0,2873,426,12437,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,34,34,426,0,0,1050,63
convolution_layer.MUT445.cpp,7,2818,0,0,48,2873,2745,12254,467,12542,14008,0.8953455168475157,0.8953455168475157,0,0,257,257,2745,0,0,1050,63
recurrent_layers.MUT321.cpp,2,2871,0,0,0,2873,111,12453,0,12535,14008,0.8948458023986293,0.8948458023986293,0,0,13,13,111,0,0,1050,63
prior_box_layer.MUT127.cpp,2,2870,0,0,1,2873,709,12260,345,12542,14008,0.8953455168475157,0.8953455168475157,0,0,56,56,709,0,0,1050,63
permute_layer.MUT58.cpp,24,2816,0,0,33,2873,4246,11848,5696,12542,14008,0.8953455168475157,0.8797829811536265,0,0,353,353,4246,0,0,1050,63
onnx_graph_simplifier.MUT231.cpp,1,2871,0,0,1,2873,1152,12526,1418,12535,14007,0.8949096880131363,0.8946955093881631,0,0,118,118,1152,0,0,1050,63
torch_importer.MUT284.cpp,1,2872,0,0,0,2873,505,12505,0,12541,14008,0.8952741290691034,0.8952741290691034,0,0,46,46,505,0,0,1050,63
recurrent_layers.MUT52.cpp,1,2872,0,0,0,2873,1582,12529,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,145,145,1582,0,0,1050,63
tf_importer.MUT745.cpp,12,2859,0,0,2,2873,3333,12482,991,12542,14008,0.8953455168475157,0.8946316390633924,0,0,302,302,3333,0,0,1050,63
reduce_layer.MUT7.cpp,16,2809,0,0,48,2873,2160,12470,1414,12536,14006,0.8950449807225475,0.8909038983292874,0,0,190,190,2160,0,0,1050,63
prior_box_layer.MUT142.cpp,1,2870,0,0,0,2871,459,12260,0,12401,14008,0.8852798400913764,0.8852798400913764,0,0,39,39,459,0,0,1050,63
onnx_graph_simplifier.MUT632.cpp,1,2310,0,0,562,2873,1488,7870,9577,12547,14008,0.8957024557395774,0.6236436322101656,0,0,144,144,1488,0,0,1050,63
prior_box_layer.MUT37.cpp,2,2870,0,0,1,2873,461,12260,641,12541,14007,0.8953380452630827,0.8854858285143142,0,0,39,39,461,0,0,1050,63
