buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_funcs_executed_by_failing_TCs,#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
torch_importer.MUT56.cpp,3,2862,0,0,8,2873,716,12419,1431,12542,14008,0.8953455168475157,0.8886350656767561,62,0,0,62,716,0,0,1050,63
einsum_layer.MUT227.cpp,9,2860,0,0,0,2869,1471,12118,0,12433,14008,0.8875642490005711,0.8875642490005711,138,0,0,138,1471,0,0,1050,63
reduce_layer.MUT126.cpp,4,2810,0,0,59,2873,2992,12441,2661,12542,14008,0.8953455168475157,0.8940605368360937,288,0,0,288,2992,0,0,1050,63
recurrent_layers.MUT229.cpp,1,2871,0,0,1,2873,1059,12453,1607,12542,14008,0.8953455168475157,0.893917761279269,88,0,0,88,1059,0,0,1050,63
gather_elements_layer.MUT41.cpp,1,2872,0,0,0,2873,1055,12538,0,12542,14008,0.8953455168475157,0.8953455168475157,108,0,0,108,1055,0,0,1050,63
onnx_importer.MUT1583.cpp,4,2869,0,0,0,2873,1343,12471,0,12539,14008,0.8951313535122787,0.8951313535122787,124,0,0,124,1343,0,0,1050,63
tf_graph_simplifier.MUT138.cpp,2,2729,0,0,142,2873,872,10953,6770,12529,14008,0.8944174757281553,0.8196030839520274,83,0,0,83,872,0,0,1050,63
flow_warp_layer.MUT38.cpp,1,2872,0,0,0,2873,353,12491,0,12542,14008,0.8953455168475157,0.8953455168475157,30,0,0,30,353,0,0,1050,63
slice_layer.MUT162.cpp,18,2849,0,0,0,2867,270,12500,0,12533,14008,0.8947030268418047,0.8947030268418047,22,0,0,22,270,0,0,1050,63
reduce_layer.MUT31.cpp,36,2793,0,0,44,2873,2601,12427,2690,12518,14008,0.8936322101656197,0.8933466590519703,245,0,0,245,2601,0,0,1050,63
