buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
resize.MUT590.cpp,2,1452,0,0,0,1454,586,9776,0,9986,11426,0.8739716436198145,0.8739716436198145,0,0,48,48,586,0,0,650,38
phasecorr.MUT152.cpp,1,1453,0,0,0,1454,98,10214,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,4,4,98,0,0,650,38
histogram.MUT112.cpp,1,1453,0,0,0,1454,410,10138,0,10186,11426,0.8914755820059513,0.8914755820059513,0,0,15,15,410,0,0,650,38
histogram.MUT822.cpp,1,1453,0,0,0,1454,265,10021,0,10128,11426,0.8863994398739716,0.8863994398739716,0,0,11,11,265,0,0,650,38
demosaicing.MUT371.cpp,1,1452,0,0,1,1454,130,10057,184,10214,11426,0.8939261333800105,0.888499912480308,0,0,6,6,130,0,0,650,38
templmatch.MUT73.cpp,147,1307,0,0,0,1454,402,9887,0,10113,11426,0.8850866444950114,0.8850866444950114,0,0,27,27,402,0,0,650,38
demosaicing.MUT280.cpp,2,1452,0,0,0,1454,134,10057,0,10153,11426,0.8885874321722388,0.8885874321722388,0,0,8,8,134,0,0,650,38
emd_new.MUT152.cpp,5,1449,0,0,0,1454,346,9944,0,10215,11425,0.8940919037199124,0.8940919037199124,0,0,19,19,346,0,0,650,38
rotcalipers.MUT107.cpp,4,1450,0,0,0,1454,133,10084,0,10191,11426,0.8919131804656047,0.8919131804656047,0,0,8,8,133,0,0,650,38
demosaicing.MUT266.cpp,1,1452,0,0,1,1454,130,10057,184,10214,11426,0.8939261333800105,0.888499912480308,0,0,6,6,130,0,0,650,38
resize.avx2.MUT83.cpp,1,1452,0,0,1,1454,483,9776,836,10168,11426,0.889900227551199,0.8822860143532295,0,0,39,39,483,0,0,650,38
contours.MUT461.cpp,39,1415,0,0,0,1454,649,10180,0,10210,11426,0.8935760546122877,0.8935760546122877,0,0,45,45,649,0,0,650,38
phasecorr.MUT77.cpp,4,1450,0,0,0,1454,221,9962,0,10183,11426,0.8912130229301592,0.8912130229301592,0,0,6,6,221,0,0,650,38
demosaicing.MUT546.cpp,2,1452,0,0,0,1454,241,10004,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,3,3,241,0,0,650,38
contours_approx.MUT42.cpp,23,1431,0,0,0,1454,784,10198,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,51,51,784,0,0,650,38
histogram.MUT364.cpp,2,1452,0,0,0,1454,247,9877,0,9970,11426,0.8725713285489235,0.8725713285489235,0,0,14,14,247,0,0,650,38
min_enclosing_triangle.MUT226.cpp,1,1453,0,0,0,1454,276,9962,0,10183,11426,0.8912130229301592,0.8912130229301592,0,0,53,53,276,0,0,650,38
phasecorr.MUT294.cpp,2,1451,0,0,1,1454,180,10048,131,10216,11426,0.8941011727638719,0.8927008576929809,0,0,6,6,180,0,0,650,38
geometry.MUT151.cpp,7,1445,0,0,2,1454,92,10098,124,10214,11426,0.8939261333800105,0.8918256607736741,0,0,8,8,92,0,0,650,38
phasecorr.MUT235.cpp,2,1452,0,0,0,1454,151,10149,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,5,5,151,0,0,650,38
color_lab.MUT946.cpp,2,1452,0,0,0,1454,573,10041,0,10216,11426,0.8941011727638719,0.8941011727638719,0,0,32,32,573,0,0,650,38
histogram.MUT21.cpp,4,1448,0,0,2,1454,326,9546,534,10031,11416,0.8786790469516468,0.8540644709180099,0,0,17,17,326,0,0,650,38
min_enclosing_triangle.MUT124.cpp,1,1453,0,0,0,1454,233,9962,0,10140,11424,0.8876050420168067,0.8876050420168067,0,0,48,48,233,0,0,650,38
histogram.MUT32.cpp,3,1451,0,0,0,1454,509,9635,0,9909,11426,0.8672326273411518,0.8672326273411518,0,0,22,22,509,0,0,650,38
